"","structure.5.52743485836877...Dim...c.1L..1L..","structure.c.1.06210850111857..1.09117646085011..1.09117646071365..","structure.c.1.06210850111857..1.02736816408204..0.999999999874937.."
"1",5.52743485836877,1.06210850111857,1.06210850111857
"2",5.52743485836877,1.09117646085011,1.02736816408204
"3",5.52743485836877,1.09117646071365,0.999999999874937
"4",5.52743485836877,1.12695273811402,1.03278688524584
"5",5.52743485836877,1.13142477278908,1.00396825396825
"6",5.52743485836877,1.12248070343897,0.992094861660079
"7",5.52743485836877,1.1090645994138,0.98804780876494
"8",5.52743485836877,1.09564849538863,0.987903225806452
"9",5.52743485836877,1.09117646071358,0.995918367346939
"10",5.52743485836877,1.06434425266324,0.975409836065574
"11",5.52743485836877,1.08223239136347,1.01680672268908
"12",5.52743485836877,1.0688162873383,0.987603305785124
"13",5.52743485836877,1.08670442603852,1.01673640167364
"14",5.52743485836877,1.08223239136347,0.995884773662551
"15",5.52743485836877,1.09117646071358,1.00826446280992
"16",5.52743485836877,1.11130061675133,1.01844262295082
"17",5.52743485836877,1.11353663408886,1.00201207243461
"18",5.52743485836877,1.09564849538863,0.983935742971888
"19",5.52743485836877,1.06434425266324,0.971428571428571
"20",5.52743485836877,1.06434425266324,1
"21",5.52743485836877,1.08223239136347,1.01680672268908
"22",5.52743485836877,1.08223239136347,1
"23",5.52743485836877,1.09341247805111,1.0103305785124
"24",5.52743485836877,1.09341247805111,1
"25",5.52743485836877,1.1090645994138,1.01431492842536
"26",5.52743485836877,1.1090645994138,1
"27",5.52743485836877,1.08670442603852,0.979838709677419
"28",5.52743485836877,1.08670442603852,1
"29",5.52743485836877,1.0688162873383,0.983539094650206
"30",5.52743485836877,1.07328832201336,1.00418410041841
"31",5.52743485836877,1.0688162873383,0.995833333333333
"32",5.52743485836877,1.0688162873383,1
"33",5.52743485836877,1.07105230467583,1.0020920502092
"34",5.52743485836877,1.08223239136347,1.01043841336117
"35",5.52743485836877,1.09117646071358,1.00826446280992
"36",5.52743485836877,1.10459256473874,1.01229508196721
"37",5.52743485836877,1.10012053006369,0.995951417004049
"38",5.52743485836877,1.10012053006369,1
"39",5.52743485836877,1.10012053006369,1
"40",5.52743485836877,1.10012053006369,1
"41",5.52743485836877,1.07328832201336,0.975609756097561
"42",5.52743485836877,1.05540018331313,0.983333333333333
"43",5.52743485836877,1.01962390591269,0.966101694915254
"44",5.52743485836877,1.02409594058774,1.00438596491228
"45",5.52743485836877,1.02409594058774,1
"46",5.52743485836877,1.03080399260033,1.00655021834061
"47",5.52743485836877,1.03304000993785,1.00216919739696
"48",5.52743485836877,1.04645611396302,1.01298701298701
"49",5.52743485836877,1.05540018331313,1.00854700854701
"50",5.52743485836877,1.04198407928797,0.98728813559322
"51",5.52743485836877,1.04198407928797,1
"52",5.52743485836877,1.01962390591269,0.978540772532189
"53",5.52743485836877,1.0285679752628,1.00877192982456
"54",5.52743485836877,1.01962390591269,0.991304347826087
"55",5.52743485836877,1.02633195792527,1.00657894736842
"56",5.52743485836877,1.01067983656258,0.984749455337691
"57",5.52743485836877,0.997263732537409,0.986725663716814
"58",5.52743485836877,1.01067983656258,1.01345291479821
"59",5.52743485836877,1.00397178454999,0.993362831858407
"60",5.52743485836877,1.00397178454999,1
"61",5.52743485836877,1.00620780188752,1.0022271714922
"62",5.52743485836877,1.00620780188752,1
"63",5.52743485836877,1.00620780188752,1
"64",5.52743485836877,1.00620780188752,1
