------------------
Parameters [tc: 0.001 ]
day	 Daily Return	 Total return
200 	 1.01146337094752 	 3.38582788694887
201 	 0.973968478838321 	 3.29768963665996
202 	 0.954545454545455 	 3.14779465317542
203 	 0.984190476190476 	 3.09802951865855
204 	 1 	 3.09802951865855
205 	 0.954712599187149 	 2.95772781411702
206 	 0.983174538820191 	 2.90796267960015
207 	 1.0880412371134 	 3.16398331139175
208 	 0.979154822815994 	 3.09802951865855
209 	 0.993419779369073 	 3.07764380090465
210 	 0.983830118838886 	 3.02787866638778
211 	 1.04217821782178 	 3.15558919231662
212 	 0.981759452783583 	 3.09802951865855
213 	 0.993419779369073 	 3.07764380090465
214 	 1.01305279563608 	 3.11781565647851
215 	 1 	 3.11781565647851
216 	 1.01211538461538 	 3.15558919231661
217 	 1.01216036481094 	 3.19396230808866
218 	 1.00112633752581 	 3.19755978769229
219 	 1 	 3.19755978769229
220 	 0.987624226514157 	 3.15798751205237
221 	 1.00626542623885 	 3.17777364987233
222 	 0.987358490566038 	 3.13760179429847
223 	 0.980890502579782 	 3.07764380090465
224 	 0.983830118838886 	 3.02787866638778
225 	 0.943960396039604 	 2.85819754508328
226 	 1.01384518565135 	 2.8977698207232
227 	 1 	 2.8977698207232
228 	 1 	 2.8977698207232
229 	 1 	 2.8977698207232
230 	 1.01738050900062 	 2.94813453517401
231 	 1 	 2.94813453517401
232 	 0.972747610331503 	 2.86779082402629
233 	 0.954840058540665 	 2.73828155829565
234 	 0.996277643967594 	 2.7280886994187
235 	 0.933406593406593 	 2.54641597943543
236 	 0.988933364728043 	 2.51823572254033
237 	 0.978571428571429 	 2.4642735284859
238 	 0.997566909975669 	 2.45827772914652
239 	 1.03243902439024 	 2.53802186036029
240 	 0.979683439640917 	 2.48645798604161
241 	 1.01687967205209 	 2.52842858141728
242 	 1.05122124733223 	 2.65793784714793
243 	 1.03022783667945 	 2.73828155829565
244 	 1.00569301510839 	 2.75387063657804
245 	 0.979751796211626 	 2.69810970272179
246 	 1.02955555555556 	 2.77785383393556
247 	 1.00733865745737 	 2.79823955168946
248 	 0.982001285622456 	 2.74787483723866
249 	 0.996508837006328 	 2.73828155829565
250 	 0.985329537989928 	 2.69810970272179
251 	 0.983777777777778 	 2.6543403675443
252 	 0.978766659137113 	 2.59797985375411
253 	 0.946918993768751 	 2.46007646894833
254 	 1.06434316353887 	 2.61836557150801
255 	 1 	 2.61836557150801
256 	 1 	 2.61836557150801
257 	 1.05335470574765 	 2.7580676961156
258 	 1.0145652173913 	 2.79823955168946
259 	 1.02485536747375 	 2.86779082402629
260 	 1 	 2.86779082402629
261 	 1 	 2.86779082402629
262 	 0.905916788626385 	 2.59797985375411
263 	 1.01546272790215 	 2.63815170932797
264 	 0.988636363636363 	 2.60817271263106
265 	 0.975402298850575 	 2.54401765969968
